epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,15927.3,0.51876,0.30373,0.8285,0.06726,0.06547,0.07424,0.06228,0.57985,7.71936,0.82948,0.002971,0.002971,0.002971
73,16089,0.51767,0.3024,0.82722,0.06729,0.06571,0.07424,0.06228,0.57833,7.72571,0.82923,0.002872,0.002872,0.002872
74,16250.4,0.5094,0.2986,0.82648,0.06875,0.06648,0.0743,0.06248,0.57691,7.73046,0.82907,0.002773,0.002773,0.002773
75,16411.8,0.50944,0.29816,0.82609,0.06903,0.06649,0.07427,0.06255,0.5758,7.74159,0.82876,0.002674,0.002674,0.002674
76,16573.3,0.50475,0.29536,0.82549,0.06892,0.06641,0.07421,0.06249,0.57527,7.74606,0.82859,0.002575,0.002575,0.002575
77,16734.5,0.50465,0.2943,0.82684,0.06888,0.06641,0.07429,0.06263,0.57453,7.75535,0.82848,0.002476,0.002476,0.002476
78,16896.2,0.50093,0.29344,0.82456,0.06875,0.06633,0.07433,0.06272,0.57389,7.76928,0.82823,0.002377,0.002377,0.002377
79,17057.5,0.49846,0.29105,0.82484,0.06869,0.0663,0.07429,0.06275,0.57315,7.77955,0.82807,0.002278,0.002278,0.002278
80,17218.9,0.49689,0.289,0.82374,0.06864,0.06626,0.07424,0.06275,0.5727,7.79418,0.82788,0.002179,0.002179,0.002179
81,17380.1,0.48984,0.28753,0.82194,0.06861,0.06627,0.07432,0.06289,0.57236,7.81021,0.82773,0.00208,0.00208,0.00208
82,17541.6,0.48847,0.28514,0.82218,0.06707,0.06563,0.07431,0.06284,0.57162,7.82083,0.82751,0.001981,0.001981,0.001981
83,17703,0.48471,0.28229,0.82157,0.06702,0.06554,0.07434,0.0629,0.57116,7.83052,0.82738,0.001882,0.001882,0.001882
84,17864.4,0.48445,0.2822,0.82222,0.06696,0.06553,0.07412,0.06275,0.57115,7.84155,0.82736,0.001783,0.001783,0.001783
85,18025.6,0.48159,0.28177,0.82042,0.06694,0.06553,0.07402,0.06264,0.57124,7.85294,0.82746,0.001684,0.001684,0.001684
86,18186.9,0.4807,0.27913,0.82251,0.06688,0.06555,0.074,0.06259,0.57085,7.86787,0.82751,0.001585,0.001585,0.001585
87,18347.9,0.47567,0.27762,0.82034,0.06689,0.06556,0.07401,0.06265,0.57032,7.87791,0.82752,0.001486,0.001486,0.001486
88,18509.4,0.47214,0.27476,0.82011,0.06703,0.06562,0.07392,0.06267,0.57002,7.89307,0.82754,0.001387,0.001387,0.001387
89,18671,0.46834,0.27261,0.81913,0.06685,0.0656,0.07392,0.06265,0.56985,7.90704,0.82746,0.001288,0.001288,0.001288
90,18832.6,0.46658,0.27171,0.8194,0.06685,0.0656,0.07383,0.06254,0.56954,7.91999,0.82735,0.001189,0.001189,0.001189
91,19015.3,0.45604,0.25798,0.81233,0.06677,0.0656,0.07342,0.06221,0.56944,7.93247,0.82733,0.00109,0.00109,0.00109
92,19175,0.44685,0.25269,0.81066,0.06684,0.0656,0.07346,0.06233,0.56875,7.94487,0.82731,0.000991,0.000991,0.000991
93,19334.9,0.44037,0.25069,0.80974,0.06678,0.0656,0.07329,0.06218,0.56868,7.95902,0.8273,0.000892,0.000892,0.000892
94,19494.8,0.43849,0.24854,0.80917,0.06681,0.0656,0.07326,0.06223,0.56811,7.97156,0.82732,0.000793,0.000793,0.000793
95,19654.6,0.43001,0.24437,0.80746,0.06684,0.0656,0.07329,0.06224,0.56753,7.98713,0.82719,0.000694,0.000694,0.000694
96,19814.4,0.42585,0.24225,0.80686,0.06686,0.0656,0.07306,0.06225,0.56715,8.00433,0.82714,0.000595,0.000595,0.000595
97,19974.2,0.42445,0.24132,0.80712,0.06681,0.06559,0.07305,0.06224,0.56692,8.02092,0.8271,0.000496,0.000496,0.000496
98,20134,0.41584,0.23708,0.80684,0.06683,0.06559,0.07305,0.06233,0.56663,8.03754,0.82692,0.000397,0.000397,0.000397
99,20293.8,0.41078,0.23426,0.80481,0.06684,0.06559,0.07307,0.06225,0.56624,8.053,0.8269,0.000298,0.000298,0.000298
100,20453.6,0.41069,0.23264,0.8049,0.06685,0.06559,0.07293,0.06222,0.566,8.06916,0.82689,0.000199,0.000199,0.000199
